"Path","Added","Deleted","Note"
"src\proxy.ts","8","7",""
"src\app\globals.css","12","134",""
"src\app\layout.tsx","19","16",""
"src\app\page.tsx","311","84",""
"src\app\auth\hmrc\callback\page.tsx","12","77",""
"src\app\dashboard\layout.tsx","31","19",""
"src\app\dashboard\page.tsx","247","21",""
"src\app\dashboard\assistant\page.tsx","141","150",""
"src\app\dashboard\calculator\page.tsx","185","171",""
"src\app\dashboard\compliance\page.tsx","452","127",""
"src\app\dashboard\pricing\page.tsx","1","1",""
"src\app\dashboard\prospects\page.tsx","192","127",""
"src\app\dashboard\user\page.tsx","14","5",""
"src\components\app-sidebar.tsx","138","129",""
"src\components\data-table.tsx","3","1",""
"src\components\nav-documents.tsx","1","1",""
"src\components\nav-main.tsx","1","1",""
"src\components\nav-secondary.tsx","1","1",""
"src\components\auth\user-sync.tsx","1","1",""
"src\components\providers\convex-provider.tsx","12","4",""
"src\components\ui\avatar.tsx","","","binary/empty diff output"
"src\components\ui\badge.tsx","","","binary/empty diff output"
"src\components\ui\button.tsx","","","binary/empty diff output"
"src\components\ui\card.tsx","","","binary/empty diff output"
"src\components\ui\collapsible.tsx","","","binary/empty diff output"
"src\components\ui\dialog.tsx","","","binary/empty diff output"
"src\components\ui\dropdown-menu.tsx","","","binary/empty diff output"
"src\components\ui\input.tsx","","","binary/empty diff output"
"src\components\ui\select.tsx","3","3",""
"src\components\ui\separator.tsx","","","binary/empty diff output"
"src\components\ui\sheet.tsx","","","binary/empty diff output"
"src\components\ui\sidebar.tsx","10","9",""
"src\components\ui\skeleton.tsx","","","binary/empty diff output"
"src\components\ui\table.tsx","1","1",""
"src\components\ui\tabs.tsx","","","binary/empty diff output"
"src\components\ui\tooltip.tsx","","","binary/empty diff output"
"src\hooks\use-mobile.ts","","","binary/empty diff output"
"src\hooks\useReferenceData.ts","1","1",""
"src\lib\utils.ts","","","binary/empty diff output"
"convex\ai.ts","1","1",""
"convex\auth.config.ts","2","3",""
"convex\hmrc_internal.ts","1","1",""
"convex\leads.ts","5","14",""
"convex\README.md","","","binary/empty diff output"
"convex\reference_data.ts","1","1",""
"convex\saved_companies.ts","1","3",""
"convex\schema.ts","0","1",""
"convex\subscriptions.ts","1","0",""
"convex\tsconfig.json","","","binary/empty diff output"
"convex\actions\companies.ts","5","5",""
"convex\actions\hmrc.ts","10","4",""
"convex\actions\stripe.ts","1","1",""
"convex\_generated\dataModel.d.ts","1","1",""
"scripts\convert-dcts-data.mjs","119","11",""
"scripts\index-companies.mjs","1","1",""
