Name|Address|LocationCode|NorthernIreland
Name|Address|Location Code|Northern Ireland Location (Yes or No)
A.V. Dawson Ltd|The Staiths, Port of Middlesbrough, Depot Road, Middlesbrough. TS2 1LE|GBAUMIDMIDDWW|No
Aberdeen Harbour Board|Harbour Office, 16 Regent Quay, Aberdeen. AB11 5SS|GBAUABDABDABD|No
Able UK Limited|Quays 1,10 & 11 (TERRC), Seaton Port, Teeside Environmental Reclamation & Recycling Centre, Tees Road, Hartlepool. TS25 2DB|GBAUHTPHTPSPQ|No
Aggregate Industries UK Ltd|GBAUGSAOBAGSA|No
Aggregate Industries UK Ltd|No. 6 Jetty - Isle of Grain, Rochester, Kent. ME3 0AG|GBAUIOGMEDNSJ|No
Maritime House, 3 Southside, Chatham Docks Estate, Chatham. ME4 4SR|GBAUCTMMEDAGI|No
Alvance British Aluminium Limited|GBAUBLYBLYRIO|No
Anglo Norden Forest Products Limited|Orwell Terminal, Eagle Wharf, Helena Road, Ipswich. IP3 0BT|GBAUIPSIPSOTE|No
Archer Daniels Midland Erith Limited|Jetties 1, 2 and 3, Albion Wharf, Erith Oil Works, Church Manorway, Erith, Kent. DA8 1DL|GBAUERIMEDEOW|No
Ardersier Port Scotland Limited|Ardersier Port, Ardersier Port Approach, Inverness. IV2 7QZ|GBAUARSINVARP|No
Argyll & Bute Council|Old & New Quay - Campbelltown, Argyll. PA31 8RD|GBAUCBTARGONQ|No
Associated British Ports|Port Office, Cleethorpe Road, Grimsby, NE Lincolnshire. DN31 3LL|GBAUGSYGRIGSY|No
Associated British Ports|Port House, Northern Gateway, Hull, East Yorkshire. HU9 5PQ|GBAUHULHULHUL|No
Associated British Ports|Herbert Walker Avenue, Western Docks, Southampton. SO15 1HJ|GBAUSOUSTNABP1|No
Associated British Ports|GBAUAYRAYRAYR|No
Associated British Ports|Port Office, Ramsden Dock Road, Barrow-in-Furness, Cumbria. LA14 2TW|GBAUBIFBARBIF|No
Associated British Ports|Atlantic Way, Barry Dock, Barry. CF63 3US|GBAUBADCDFBAD|No
Associated British Ports|Queen Alexandra House, Cargo Road, Cardiff. CF10 4LY|GBAUCDFCDFCDF|No
Associated British Ports|Port Office, Dock Road, Garston, Liverpool. L19 2JW|GBAUGTNLIVGTN|No
Associated British Ports|Port Office, East Parade, Goole, East Yorkshire. DN14 5RB|GBAUGOOGOOGOO|No
Associated British Ports|Immingham Docks, South Humberside. DN40 2LZ|GBAUIMMIMMIMM|No
Associated British Ports|ABP Ipswich, Ipswich Dock, Ipswich, Suffolk. IP4 1BY|GBAUIPSIPSIPS|No
Associated British Ports|Alexandra and Bentinck Docks and Riverside Quay, Kings Lynn. PE30 1QS|GBAUKLNKLNKLN|No
